Function,Algorithm,Mean,StdDev,Rank
F7_CEC2017,SMA,1019.521199,57.73163067,12
F7_CEC2017,WOA,1062.83005,2.27e-13,13
F8_CEC2017,FSRO_Original,816.7287043,7.04258097,11
F8_CEC2017,FSRO_Modified,800.0489194,0.090016319,1
F8_CEC2017,FSRO_Variant1,810.5169013,4.473105197,10
F8_CEC2017,FSRO_Variant2,803.4355301,1.685028252,4
F8_CEC2017,FSRO_Variant3,804.6915481,2.855486748,6
F8_CEC2017,FSRO_Variant4,817.0276801,5.364374804,12
F8_CEC2017,FSRO_Variant5,818.5818213,5.190152203,13
F8_CEC2017,DE,801.8570501,1.687917013,2
F8_CEC2017,GWO,803.66733,0.859757139,5
F8_CEC2017,HHO,808.6072272,1.14e-13,8
F8_CEC2017,MFO,807.2587011,4.107543446,7
F8_CEC2017,PSO,802.7727855,2.099601136,3
F8_CEC2017,SMA,824.0191341,9.565863963,14
F8_CEC2017,WOA,808.6072272,1.14e-13,8
F9_CEC2017,FSRO_Original,2875.230796,337.8705475,8
F9_CEC2017,FSRO_Modified,1607.674883,262.5802074,1
F9_CEC2017,FSRO_Variant1,2433.004566,216.1189713,6
F9_CEC2017,FSRO_Variant2,2325.030565,412.3845341,4
F9_CEC2017,FSRO_Variant3,2430.560301,383.9938509,5
F9_CEC2017,FSRO_Variant4,3021.72639,216.6644462,9
F9_CEC2017,FSRO_Variant5,3663.889939,304.7239451,10
F9_CEC2017,DE,1818.999846,351.398859,2
F9_CEC2017,GWO,3998.865536,435.9014006,12
F9_CEC2017,HHO,5379.726543,9.09e-13,13
F9_CEC2017,MFO,2448.324065,439.9925496,7
F9_CEC2017,PSO,1825.733024,280.9415078,3
F9_CEC2017,SMA,3794.91344,384.6796757,11
F9_CEC2017,WOA,5379.726543,9.09e-13,13
F1_CEC2020,FSRO_Original,26686616623.0,12847195359.0,9
F1_CEC2020,FSRO_Modified,105117.2806,30426.6564,1
F1_CEC2020,FSRO_Variant1,20533221165.0,8479627651.0,8
F1_CEC2020,FSRO_Variant2,132290.2514,36469.84107,2
F1_CEC2020,FSRO_Variant3,8594433289.0,6087028115.0,6
F1_CEC2020,FSRO_Variant4,31151641761.0,11633687386.0,13
