Function,Algorithm,Mean,StdDev,Min,Max
F7_CEC2017,WOA,1062.8300502071595,2.273736754432321e-13,1062.83005020716,1062.83005020716
F8_CEC2017,FSRO_Original,816.7287043370874,7.042580969700235,805.5307277940152,837.3250263640997
F8_CEC2017,FSRO_Modified,800.0489194319027,0.0900163186512843,800.0138742956967,800.491116552087
F8_CEC2017,FSRO_Variant1,810.5169012706492,4.473105196946474,801.7488980682575,822.0489832512184
F8_CEC2017,FSRO_Variant2,803.4355301082652,1.6850282521033253,800.7232293377116,808.4106214390495
F8_CEC2017,FSRO_Variant3,804.691548103161,2.8554867479780337,800.2139111091924,814.0561813529378
F8_CEC2017,FSRO_Variant4,817.0276800802795,5.364374804175548,807.9054806137527,833.6989740910867
F8_CEC2017,FSRO_Variant5,818.5818213235303,5.190152203285868,808.1170496224308,831.7381399826866
F8_CEC2017,DE,801.8570500756991,1.6879170127018148,800.1020506895082,808.6032034546113
F8_CEC2017,GWO,803.6673300398693,0.8597571387268356,802.0220476745312,806.1097403885047
F8_CEC2017,HHO,808.6072272066549,1.1368683772161605e-13,808.607227206655,808.607227206655
F8_CEC2017,MFO,807.2587010764687,4.1075434458182825,800.0895282504166,818.4475558899368
F8_CEC2017,PSO,802.772785490757,2.099601135988101,800.0235327630899,810.7208221676152
F8_CEC2017,SMA,824.0191341016011,9.565863962991545,808.1141446812777,853.3873401923516
F8_CEC2017,WOA,808.6072272066549,1.1368683772161605e-13,808.607227206655,808.607227206655
F9_CEC2017,FSRO_Original,2875.230795953148,337.87054748140537,2030.0488893295835,3413.7070951360324
F9_CEC2017,FSRO_Modified,1607.6748827198244,262.5802074137512,1038.6500116160446,2294.31529407316
F9_CEC2017,FSRO_Variant1,2433.0045660197898,216.1189713053643,1797.6391125998775,2930.045470108349
F9_CEC2017,FSRO_Variant2,2325.0305654533786,412.3845340544663,1265.8428681151695,3136.072457949952
F9_CEC2017,FSRO_Variant3,2430.56030115706,383.99385091046565,1466.029927482542,3194.9636088052703
F9_CEC2017,FSRO_Variant4,3021.7263897377456,216.6644461607009,2523.6887094615176,3383.298652013171
F9_CEC2017,FSRO_Variant5,3663.889938867152,304.72394507715404,2980.1678749527787,4462.386618738927
F9_CEC2017,DE,1818.999845683787,351.3988590238052,1192.8475393157696,2673.7127934372625
F9_CEC2017,GWO,3998.865536006352,435.9014006131052,3115.3126657037856,5267.1101735355205
F9_CEC2017,HHO,5379.726542924858,9.094947017729282e-13,5379.726542924857,5379.726542924857
F9_CEC2017,MFO,2448.32406506962,439.9925496154371,1509.7690230063567,3292.170216734574
F9_CEC2017,PSO,1825.7330238467,280.9415077944825,1074.642215895312,2451.898856416242
F9_CEC2017,SMA,3794.9134399601166,384.67967565719374,2976.236845435993,4881.341085823018
F9_CEC2017,WOA,5379.726542924858,9.094947017729282e-13,5379.726542924857,5379.726542924857
F1_CEC2020,FSRO_Original,26686616623.336945,12847195358.783312,5318406589.046268,67090160255.19996
F1_CEC2020,FSRO_Modified,105117.28056150748,30426.656395584065,40361.23124646591,186243.6416089659
F1_CEC2020,FSRO_Variant1,20533221165.4306,8479627650.7368,5165723887.097155,41779721018.39628
F1_CEC2020,FSRO_Variant2,132290.2513792875,36469.841067932764,56027.301291838565,210012.84247108529
F1_CEC2020,FSRO_Variant3,8594433289.038294,6087028114.810875,392458326.7313542,23230906838.26037
F1_CEC2020,FSRO_Variant4,31151641760.91633,11633687386.298077,6717845959.1210985,57766544032.78306
